playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
50442,Stevan Jovetic,FOR,146,Monaco,MON,0,0,6.6,0,0.050,0.7575757575757577,d,i,0,0,0,0,0,0,0,0,0,6.7,6.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/45550.png,0,0.00000
194252,Steven Bergwijn,FOR,204,PSV,PSV,4,0,6.7,0,0.025,0.37593984962406013,d,a,2,0,0,0,0,0,0,0,0,6.7,6.7,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/319305.png,0,0.00000
85985,Steven Skrzybski,FOR,167,FC Schalke 04,SCH,0,0,6.0,0,0.050,0.8333333333333334,d,d,0,0,0,0,0,0,0,0,0,6.1,6.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/158651.png,0,0.00000
39336,Suárez. L,FOR,178,Barcelona,FCB,7,0,7.8,0,0.025,0.31948881789137384,d,a,2,0,1,0,0,0,0,0,0,7.9,7.8,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/2290.png,0,0.00000
52870,Taison,FOR,455,Shakhtar Donetsk,SHA,4,0,6.4,0,0.025,0.3937007874015749,d,a,2,0,0,0,0,0,0,0,0,6.4,6.4,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/39549.png,0,0.00000
55634,Thomas Müller,FOR,156,FC Bayern München,BAY,3,0,7.5,0,0.025,0.33557046979865773,d,a,1,0,0,0,0,0,0,0,0,7.5,7.5,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/38215.png,0,0.00000
215473,Timothy Weah,FOR,149,Paris Saint-Germain,PSG,0,0,5.3,0,0.050,0.9433962264150945,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/460023.png,0,0.00000
240906,Timur Zhamaletdinov,FOR,1340,CSKA Moscow,CSK,1,0,5.4,0,0.050,0.9216589861751152,d,a,0,0,0,0,0,0,0,0,0,5.5,5.4,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/372983.png,0,0.00000
185389,Tomas Chory,FOR,2703,Viktoria Plzen,VIK,0,0,5.3,0,0.050,0.9433962264150945,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/214355.png,0,0.00000
181928,Vaclav Cerny,FOR,215,Ajax,AJA,0,0,5.1,0,0.050,0.9803921568627453,d,i,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/268815.png,0,0.00000
230678,Vanja Vucicevic,FOR,214,Crvena Zvezda,RSB,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
83465,Vincent Aboubakar,FOR,201,FC Porto,FCP,2,0,6.7,0,0.050,0.7434944237918216,d,a,1,0,0,0,0,0,0,0,0,6.8,6.7,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/131021.png,0,0.00000
246333,Vinícius Júnior,FOR,186,Real Madrid,RMD,0,0,5.3,0,0.050,0.9433962264150945,d,a,0,0,0,0,0,0,0,0,0,5.4,5.3,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/474972.png,0,0.00000
433869,Vitali Zhironkin,FOR,1340,CSKA Moscow,CSK,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/478307.png,0,0.00000
100828,Wellington Nem,FOR,455,Shakhtar Donetsk,SHA,0,0,5.6,0,0.050,0.892857142857143,d,d,0,0,0,0,0,0,0,0,0,5.7,5.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/102691.png,0,0.00000
213345,Wesley,FOR,413,Club Brugge,BRU,4,0,5.7,0,0.025,0.4424778761061947,d,a,2,0,0,0,0,0,0,0,0,5.7,5.7,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/408768.png,0,0.00000
242894,Willem Geubbels,FOR,146,Monaco,MON,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/477859.png,0,0.00000
67773,Yevhen Konoplyanka,FOR,167,FC Schalke 04,SCH,6,0,6.7,0,0.050,0.7434944237918216,u,a,1,0,1,0,0,0,0,0,0,6.7,6.7,6,https://secure.cache.images.core.optasports.com/soccer/players/150x150/65127.png,0,0.00000
214472,Youssef Aït Bennasser,FOR,146,Monaco,MON,0,0,5.7,0,0.050,0.8771929824561403,d,a,0,0,0,0,0,0,0,0,0,5.8,5.7,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/322795.png,0,0.00000
438346,Yunus Akgün,FOR,208,Galatasaray,GAL,1,0,5.0,0,0.025,0.4975124378109453,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/461780.png,0,0.00000
58712,Ádám Szalai,FOR,1902,TSG 1899 Hoffenheim,TSG,4,0,5.6,0,0.025,0.45045045045045046,d,a,2,0,0,0,0,0,0,0,0,5.6,5.6,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/62146.png,0,0.00000
