playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
111782,Robin Olsen,GK,121,Roma,ROM,10,0,6.2,0,0.100,1.6260162601626014,u,a,2,0,0,3,1,9,0,0,0,6.2,6.0,10,https://secure.cache.images.core.optasports.com/soccer/players/150x150/111435.png,0,0.00000
45281,Roman Bürki,GK,157,Borussia Dortmund,BVB,17,0,6.3,0,0.150,2.4,u,a,2,0,0,0,2,7,0,0,0,6.3,6.0,17,https://secure.cache.images.core.optasports.com/soccer/players/150x150/65860.png,0,0.00000
225361,Ron-Thorben Hoffmann,GK,156,FC Bayern München,BAY,0,0,5.5,0,0.050,0.9090909090909092,d,a,0,0,0,0,0,0,0,0,0,5.6,5.5,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/420674.png,0,0.00000
11264,Rustam Khudzhamov,GK,455,Shakhtar Donetsk,SHA,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
18383,Samir Handanovic,GK,127,Internazionale,INT,5,0,6.0,0,0.025,0.4149377593360996,d,a,2,0,0,2,0,8,0,0,0,6.1,6.0,5,https://secure.cache.images.core.optasports.com/soccer/players/150x150/17974.png,0,0.00000
437721,Sebastien Cibois,GK,149,Paris Saint-Germain,PSG,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/376889.png,0,0.00000
151231,Serafim Giannikoglou,GK,234,AEK Athens,AEK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/208624.png,0,0.00000
69368,Sergey Chepchugov,GK,1340,CSKA Moscow,CSK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
42899,Sergio Romero,GK,1,Manchester United,MNU,0,0,5.5,0,0.050,0.9090909090909092,d,a,0,0,0,0,0,0,0,0,0,5.6,5.5,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/17311.png,0,0.00000
192291,Seydou Sy,GK,146,Monaco,MON,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/351405.png,0,0.00000
66797,Simon Mignolet,GK,14,Liverpool,LIV,0,0,5.4,0,0.050,0.9259259259259258,d,a,0,0,0,0,0,0,0,0,0,5.5,5.4,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/13465.png,0,0.00000
49431,Sven Ulreich,GK,156,FC Bayern München,BAY,0,0,5.7,0,0.050,0.8771929824561403,d,a,0,0,0,0,0,0,0,0,0,5.8,5.7,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/21049.png,0,0.00000
60772,Thibaut Courtois,GK,186,Real Madrid,RMD,0,0,6.1,0,0.050,0.819672131147541,d,a,0,0,0,0,0,0,0,0,0,6.2,6.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/77294.png,0,0.00000
14216,Tommaso Berni,GK,127,Internazionale,INT,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/4050.png,0,0.00000
116442,Vaná Alves,GK,201,FC Porto,FCP,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/233294.png,0,0.00000
166227,Vasilios Barkas,GK,234,AEK Athens,AEK,0,0,5.4,0,0.050,0.9259259259259258,d,a,2,0,0,6,0,6,0,0,0,5.5,5.4,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/272919.png,0,0.00000
42522,Vladimir Gabulov,GK,413,Club Brugge,BRU,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/6671.png,0,0.00000
59936,Wojciech Szczesny,GK,128,Juventus,JUV,21,0,6.4,0,0.100,1.5625,u,a,2,0,0,0,2,6,0,0,0,6.4,6.1,21,https://secure.cache.images.core.optasports.com/soccer/players/150x150/16085.png,0,0.00000
180178,Yanick van Osch,GK,204,PSV,PSV,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/319269.png,0,0.00000
