Name,Value (in Millions)
Marios Oikonomou,5.4
Marius Wolf,5.8
Mark Uth,6.0
Marko Gobeljic,5.1
Marko Livaja,5.6
Marko Marin,5.5
Marko Rog,5.2
Marlos,5.9
Marouane Fellaini,5.8
Marquinhos,6.0
Marquinhos Cipriano,5.5
Martin Linnes,5.5
Martin Terrier,6.1
Martin Zeman,5.3
Marvelous Nakamba,5.2
Marwin Hitz,5.1
Mat\u00edas Vecino,6.1
Mat\u00fas Koz\u00e1cik,5.4
Matej Kovar,5.0
Matej Mitrovic,5.3
Mathieu Gorgelin,5.3
Matija Nastasic,5.5
Mats Hummels,6.5
Mats Rits,5.4
Matteo Darmian,5.7
Matteo Politano,5.9
Matthijs de Ligt,5.7
Mattia De Sciglio,5.9
Mattia Perin,5.7
Mauro Icardi,7.7
Mauro Junior,5.3
Maxi Pereira,5.9
Maximilian Philipp,6.0
Maximilian W\u00f6ber,5.4
Maximiliano Romero,5.6
Maxwel Cornet,6.8
Maycon,5.8
Medhi Benatia,6.0
Memphis Depay,6.7
Meris Skenderovic,5.1
Michael Langer,5.2
Michal Krmencik,5.7
Michalis Bakakis,5.3
Micheal Scarf,5.0
Michel Aebischer,5.3
Michel Vorm,5.3
Michy Batshuayi,7.0
Mikhail Lysov,5.2
Milan Borjan,5.4
Milan Havel,5.2
Milan Pavkov,5.5
Milan Petrzela,5.3
Milan Rodic,5.3
Milan Senic,5.0
Milan Skriniar,5.9
Mile Svilar,5.5
Milos Degenek,5.3
Miralem Pjanic,7.5
Miralem Sulejmani,5.4
Miranda,5.9
Miroslav Lobantsev,5.0
Mitchel Bakker,5.0
Mitchell Donald,5.0
Mohamed Camara,5.0
Moraes,6.1
Mouctar Diakhaby,5.4
Moumi Nicolas Ngamaleu,5.3
Moura. Lucas,7.1
Moussa Dembele,6.6
Moussa Diaby,5.8
Moussa Marega,6.2
Moussa Sissoko,5.5
Moussa Sylla,5.1
Mugdat Celik,5.4
Muhammet Yesilyurt,5.0
Munir El Haddadi,5.6
Mykola Matvyenko,5.2
Mykyta Shevchenko,5.0
Nabil Bentaleb,5.5
Nabil Fekir,7.4
Naby Keita,6.0
Nacer Chadli,6.2
Nacho,5.9
Nadiem Amiri,5.3
Naldo,5.7
Nathaniel Clyne,5.3
Nayair Tiknizyan,5.2
Nelsinho,5.7
Nemanja Matic,5.9
Nemanja Milic,5.0
Nemanja Supic,5.0
Nenad Krsticic,5.3
Nenad Milijas,5.1
Neto,5.9
Neymar,8.2
Nick Viergever,5.8
Nico Schulz,5.2
Nicol\u00e1s Otamendi,6.1
Nicol\u00e1s Tagliafico,6.0
Nicol\u00f2 Zaniolo,5.3
Nicolas Isimat-Mirin,5.4
Niels Verburgh,5.0
Nikita Chernov,5.6
Nikita Medvedev,5.2
Niklas Hult,5.3
Niklas S\u00fcle,6.1
Nikola Kalinic,6.9
Nikola Storm,5.0
Nikola Vlasic,6.1
Norbert Alblas,5.1
Noussair Mazraoui,5.3
Odisseas Vlachodimos,5.5
Olarenwaju Kayode,5.6
Oleg Danchenko,5.4
Oleh Kudryk,5.2
Oleksandr Zinchenko,5.3
Oleksiy Shevchenko,5.4
Oliver Baumann,5.8
Omar Mascarell,5.1
Ondrej Stursa,5.0
Orestis Karnezis,5.6
Ot\u00e1vio,6.1
Oumar Solet,5.0
Ozan Kabak,5.0
Pablo Rosario,5.5
Paco Alc\u00e1cer,7.2
Panagiotis Dounis,5.0
Panagiotis Ginis,5.0
Panagiotis Tsintotas,5.1
Papa Alioune Ndiaye,5.5
Pape Cheikh,5.3
Paris Babis,5.0
Patrik Hrosovsky,5.3
Patrik Schick,5.5
Paul Pogba,7.4
Paulo Dybala,7.6
Paulo Gazzaniga,5.0
Paulo Lopes,5.0
Pavel Bucha,5.3
Pavel Kader\u00e1bek,5.4
Pavel Ovchinnikov,5.0
Pedro Teixeira,5.1
Pedro Vitor,5.0
Pereira. Andreas,5.4
Perr Schuurs,5.0
Petr Bolek,5.0
Petros Mantalos,5.4
Phil Foden,5.9
Philippe Coutinho,7.8
Philippe Sandler,5.0
Pietro Pellegri,5.4
Piotr Zielinski,5.9
Pizzi,6.4
Presnel Kimpembe,5.8
Ra\u00fal Albiol,6.1
Radim Reznik,5.1
Radja Nainggolan,6.0
Rafa,5.8
Rafael,5.7
Rafinha,5.9
Rafinha,6.1
Ralf F\u00e4hrmann,6.0
Ramon-Pascal Lundqvist,5.0
Raphael Guerreiro,5.7
Raphael Varane,6.5
Rasmus Nissen,5.3
Reiss Nelson,5.6
Renato Sanches,5.6
Rhian Brewster,5.1
Richmond Boakye,5.1
Rick Karsdorp,5.2
Rifat Zhemaletdinov,5.4
Riyad Mahrez,7.0
Robert Lewandowski,8.0
Roberto Gagliardini,5.9
Robin Hack,5.1
Robin Olsen,6.2
Rodri,5.8
Rodrigo,7.0
Rodrigo Bec\u00e3o,5.4
Rodrigo Bentancur,5.9
Rodrigo Galo,5.2
Rodrigues,5.8
Roger Assal\u00e9,5.3
Roger Assal\u00e9,5.3
Roman B\u00fcrki,6.3
Roman Hubnik,5.3
Roman Prochazka,5.4
Roman Tugarev,5.2
